#hotspot: Juanita Bay Park
#period: Sep 2 - Sep 8, 2026
#week: 202637
Species,Count
"Canada Goose",463
"Wood Duck",329
"American Coot",213
"Mallard",154
"American Crow",113
"Black-capped Chickadee",89
"Dark-eyed Junco",74
"Gadwall",51
"Anna's Hummingbird",40
"Song Sparrow",35
"Killdeer",34
"Red-breasted Nuthatch",34
"Spotted Towhee",31
"Bewick's Wren",28
"House Finch",28
"Bushtit",27
"Downy Woodpecker",27
"Pied-billed Grebe",23
"Virginia Rail",23
"Great Blue Heron",22
"Osprey",19
"Chestnut-backed Chickadee",18
"Common Yellowthroat",18
"Golden-crowned Kinglet",17
"Marsh Wren",17
"Barn Swallow",16
"Belted Kingfisher",16
"Brown Creeper",16
"Northern Shoveler",16
"Steller's Jay",15
"Green-winged Teal",11
"Northern Flicker",11
"American Robin",10
"Red-winged Blackbird",8
"Rock Pigeon (Feral Pigeon)",8
"American Goldfinch",7
"Savannah Sparrow",7
"Cedar Waxwing",6
"Cooper's Hawk",5
"Green Heron",5
"Bald Eagle",4
"Glaucous-winged Gull",4
"Least Sandpiper",4
"Ring-billed Gull",4
"Hooded Merganser",3
"Orange-crowned Warbler",3
"Yellow-rumped Warbler",3
"Long-billed Dowitcher",2
"Red-breasted Sapsucker",2
"Spotted Sandpiper",2
"Swainson's Thrush",2
"Western Warbling Vireo",2
"Wilson's Snipe",2
"California Gull",1
"Common Merganser",1
"Empidonax sp.",1
"Golden-crowned Sparrow",1
"gull sp.",1
"Hammond's Flycatcher",1
"Hutton's Vireo",1
"Lincoln's Sparrow",1
"Northern Harrier",1
"Northern Yellow Warbler",1
"Purple Finch",1
"Red Crossbill",1
"Red-tailed Hawk",1
"Sharp-shinned Hawk",1
"Willow Flycatcher",1
