#hotspot: Marymoor Park
#period: Sep 16 - Sep 22, 2026
#week: 202639
Species,Count
"Canada Goose",389
"American Crow",251
"Song Sparrow",88
"Black-capped Chickadee",79
"Rock Pigeon (Feral Pigeon)",78
"American Robin",54
"Mallard",45
"Spotted Towhee",45
"Yellow-rumped Warbler",43
"Cedar Waxwing",40
"Red-winged Blackbird",36
"Anna's Hummingbird",35
"White-crowned Sparrow",35
"Gadwall",31
"House Finch",26
"Bewick's Wren",25
"Bushtit",25
"Killdeer",25
"Northern Flicker",24
"Wood Duck",23
"Golden-crowned Kinglet",18
"Common Merganser",17
"Dark-eyed Junco",16
"Steller's Jay",16
"Chestnut-backed Chickadee",15
"Golden-crowned Sparrow",15
"Red-breasted Nuthatch",15
"Savannah Sparrow",14
"American Goldfinch",13
"Downy Woodpecker",12
"Pied-billed Grebe",11
"Belted Kingfisher",9
"Common Yellowthroat",9
"Horned Lark",9
"Great Blue Heron",8
"American Pipit",7
"Brown Creeper",7
"European Starling",6
"Glaucous-winged Gull",6
"Fox Sparrow",5
"Lincoln's Sparrow",5
"Osprey",5
"Swainson's Thrush",5
"Barn Swallow",3
"Hairy Woodpecker",3
"Purple Finch",3
"Red-tailed Hawk",3
"Western Meadowlark",3
"American Kestrel",2
"Cooper's Hawk",2
"House Sparrow",2
"Marsh Wren",2
"Ruby-crowned Kinglet",2
"Western x Glaucous-winged Gull (hybrid)",2
"American Coot",1
"Bald Eagle",1
"Common Raven",1
"Dark-eyed Junco (Oregon)",1
"Pacific Wren",1
"Peregrine Falcon",1
"Pileated Woodpecker",1
"Virginia Rail",1
"Western Tanager",1
"Western Warbling Vireo",1
